"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,Tennessee,2016,41,112,3,0,2.68,2.68,0
States,Texas,2016,41,1153,10,19,2.52,0.87,1.65
States,Utah,2016,41,424,5,0,1.18,1.18,0
States,Vermont,2016,41,68,1,0,1.47,1.47,0
States,Virginia,2016,41,201,2,1,1.49,1,0.5
States,Washington,2016,41,413,2,2,0.97,0.48,0.48
States,West Virginia,2016,41,332,0,0,0,0,0
States,Wisconsin,2016,41,471,1,2,0.64,0.21,0.42
States,Wyoming,2016,41,X,X,X,X,X,X
States,Puerto Rico,2016,41,0,0,0,0,0,0
States,Virgin Islands,2016,41,X,X,X,X,X,X
States,New York City,2016,41,X,X,X,X,X,X
States,Alabama,2016,42,474,2,3,1.05,0.42,0.63
States,Alaska,2016,42,X,X,X,X,X,X
States,Arizona,2016,42,135,0,1,0.74,0,0.74
States,Arkansas,2016,42,53,0,0,0,0,0
States,California,2016,42,838,4,2,0.72,0.48,0.24
States,Colorado,2016,42,312,1,0,0.32,0.32,0
States,Connecticut,2016,42,318,0,0,0,0,0
States,Delaware,2016,42,68,0,0,0,0,0
States,District of Columbia,2016,42,X,X,X,X,X,X
States,Florida,2016,42,X,X,X,X,X,X
States,Georgia,2016,42,595,6,0,1.01,1.01,0
States,Hawaii,2016,42,160,2,0,1.25,1.25,0
States,Idaho,2016,42,16,0,0,0,0,0
States,Illinois,2016,42,269,0,1,0.37,0,0.37
States,Indiana,2016,42,122,0,0,0,0,0
States,Iowa,2016,42,93,0,0,0,0,0
States,Kansas,2016,42,65,0,0,0,0,0
States,Kentucky,2016,42,251,0,0,0,0,0
States,Louisiana,2016,42,505,2,1,0.59,0.4,0.2
States,Maine,2016,42,X,X,X,X,X,X
States,Maryland,2016,42,103,0,1,0.97,0,0.97
States,Massachusetts,2016,42,433,1,0,0.23,0.23,0
States,Michigan,2016,42,732,2,4,0.82,0.27,0.55
States,Minnesota,2016,42,296,3,0,1.01,1.01,0
States,Mississippi,2016,42,90,1,1,2.22,1.11,1.11
States,Missouri,2016,42,577,0,1,0.17,0,0.17
States,Montana,2016,42,111,1,0,0.9,0.9,0
States,Nebraska,2016,42,84,0,1,1.19,0,1.19
States,Nevada,2016,42,12,1,0,8.33,8.33,0
States,New Hampshire,2016,42,26,0,0,0,0,0
States,New Jersey,2016,42,X,X,X,X,X,X
States,New Mexico,2016,42,171,0,1,0.58,0,0.58
States,New York,2016,42,1542,11,1,0.78,0.71,0.06
States,North Carolina,2016,42,216,4,4,3.7,1.85,1.85
States,North Dakota,2016,42,33,0,0,0,0,0
States,Ohio,2016,42,948,6,9,1.58,0.63,0.95
States,Oklahoma,2016,42,166,1,1,1.2,0.6,0.6
States,Oregon,2016,42,191,5,0,2.62,2.62,0
States,Pennsylvania,2016,42,286,0,0,0,0,0
States,Rhode Island,2016,42,X,X,X,X,X,X
States,South Carolina,2016,42,213,2,0,0.94,0.94,0
States,South Dakota,2016,42,113,1,0,0.88,0.88,0
States,Tennessee,2016,42,129,2,1,2.33,1.55,0.78
States,Texas,2016,42,1152,8,10,1.56,0.69,0.87
States,Utah,2016,42,439,4,0,0.91,0.91,0
States,Vermont,2016,42,65,0,0,0,0,0
States,Virginia,2016,42,191,0,0,0,0,0
States,Washington,2016,42,396,13,1,3.54,3.28,0.25
States,West Virginia,2016,42,363,0,0,0,0,0
States,Wisconsin,2016,42,507,2,0,0.39,0.39,0
States,Wyoming,2016,42,X,X,X,X,X,X
States,Puerto Rico,2016,42,0,0,0,0,0,0
States,Virgin Islands,2016,42,X,X,X,X,X,X
States,New York City,2016,42,X,X,X,X,X,X
States,Alabama,2016,43,424,5,1,1.42,1.18,0.24
States,Alaska,2016,43,X,X,X,X,X,X
States,Arizona,2016,43,125,0,0,0,0,0
States,Arkansas,2016,43,31,0,0,0,0,0
States,California,2016,43,837,9,2,1.31,1.08,0.24
States,Colorado,2016,43,338,2,0,0.59,0.59,0
States,Connecticut,2016,43,271,0,0,0,0,0
States,Delaware,2016,43,72,0,0,0,0,0
States,District of Columbia,2016,43,X,X,X,X,X,X
States,Florida,2016,43,X,X,X,X,X,X
States,Georgia,2016,43,638,5,3,1.25,0.78,0.47
States,Hawaii,2016,43,139,4,0,2.88,2.88,0
States,Idaho,2016,43,22,0,0,0,0,0
States,Illinois,2016,43,297,1,0,0.34,0.34,0
States,Indiana,2016,43,112,0,1,0.89,0,0.89
States,Iowa,2016,43,118,1,1,1.69,0.85,0.85
States,Kansas,2016,43,72,0,0,0,0,0
States,Kentucky,2016,43,276,0,1,0.36,0,0.36
States,Louisiana,2016,43,545,5,0,0.92,0.92,0
States,Maine,2016,43,X,X,X,X,X,X
States,Maryland,2016,43,82,0,0,0,0,0
States,Massachusetts,2016,43,403,1,2,0.74,0.25,0.5
States,Michigan,2016,43,735,3,0,0.41,0.41,0
States,Minnesota,2016,43,310,1,1,0.65,0.32,0.32
States,Mississippi,2016,43,77,0,0,0,0,0
States,Missouri,2016,43,616,0,0,0,0,0
States,Montana,2016,43,90,2,0,2.22,2.22,0
States,Nebraska,2016,43,79,0,0,0,0,0
States,Nevada,2016,43,14,1,0,7.14,7.14,0
States,New Hampshire,2016,43,24,1,0,4.17,4.17,0
States,New Jersey,2016,43,X,X,X,X,X,X
States,New Mexico,2016,43,201,2,0,1,1,0
States,New York,2016,43,1537,8,4,0.78,0.52,0.26
States,North Carolina,2016,43,225,3,3,2.67,1.33,1.33
States,North Dakota,2016,43,18,0,0,0,0,0
States,Ohio,2016,43,967,0,2,0.21,0,0.21
States,Oklahoma,2016,43,158,1,0,0.63,0.63,0
States,Oregon,2016,43,223,13,0,5.83,5.83,0
States,Pennsylvania,2016,43,305,0,1,0.33,0,0.33
States,Rhode Island,2016,43,X,X,X,X,X,X
States,South Carolina,2016,43,217,0,0,0,0,0
States,South Dakota,2016,43,142,0,0,0,0,0
States,Tennessee,2016,43,115,1,4,4.35,0.87,3.48
States,Texas,2016,43,1174,12,18,2.56,1.02,1.53
States,Utah,2016,43,468,6,0,1.28,1.28,0
States,Vermont,2016,43,68,0,0,0,0,0
States,Virginia,2016,43,210,0,0,0,0,0
States,Washington,2016,43,470,28,2,6.38,5.96,0.43
States,West Virginia,2016,43,386,0,1,0.26,0,0.26
States,Wisconsin,2016,43,526,1,1,0.38,0.19,0.19
States,Wyoming,2016,43,X,X,X,X,X,X
States,Puerto Rico,2016,43,0,0,0,0,0,0
States,Virgin Islands,2016,43,X,X,X,X,X,X
States,New York City,2016,43,X,X,X,X,X,X
States,Alabama,2016,44,558,14,7,3.76,2.51,1.25
States,Alaska,2016,44,X,X,X,X,X,X
States,Arizona,2016,44,149,0,0,0,0,0
States,Arkansas,2016,44,53,0,0,0,0,0
States,California,2016,44,874,12,0,1.37,1.37,0
States,Colorado,2016,44,318,3,0,0.94,0.94,0
States,Connecticut,2016,44,254,4,0,1.57,1.57,0
States,Delaware,2016,44,72,0,0,0,0,0
States,District of Columbia,2016,44,X,X,X,X,X,X
States,Florida,2016,44,X,X,X,X,X,X
States,Georgia,2016,44,684,6,2,1.17,0.88,0.29
States,Hawaii,2016,44,190,3,0,1.58,1.58,0
States,Idaho,2016,44,30,0,0,0,0,0
States,Illinois,2016,44,261,0,0,0,0,0
States,Indiana,2016,44,104,0,0,0,0,0
States,Iowa,2016,44,84,1,2,3.57,1.19,2.38
States,Kansas,2016,44,52,0,0,0,0,0
States,Kentucky,2016,44,253,0,0,0,0,0
States,Louisiana,2016,44,580,7,3,1.72,1.21,0.52
States,Maine,2016,44,X,X,X,X,X,X
States,Maryland,2016,44,100,0,0,0,0,0
States,Massachusetts,2016,44,408,5,2,1.72,1.23,0.49
States,Michigan,2016,44,771,4,0,0.52,0.52,0
States,Minnesota,2016,44,311,3,0,0.96,0.96,0
States,Mississippi,2016,44,80,1,1,2.5,1.25,1.25
States,Missouri,2016,44,609,0,0,0,0,0
States,Montana,2016,44,95,2,0,2.11,2.11,0
States,Nebraska,2016,44,103,0,0,0,0,0
States,Nevada,2016,44,14,1,1,14.29,7.14,7.14
States,New Hampshire,2016,44,20,1,1,10,5,5
States,New Jersey,2016,44,X,X,X,X,X,X
States,New Mexico,2016,44,230,0,0,0,0,0
States,New York,2016,44,1580,12,2,0.89,0.76,0.13
States,North Carolina,2016,44,253,5,6,4.35,1.98,2.37
States,North Dakota,2016,44,44,0,0,0,0,0
States,Ohio,2016,44,1174,9,9,1.53,0.77,0.77
States,Oklahoma,2016,44,151,2,0,1.32,1.32,0
States,Oregon,2016,44,290,13,1,4.83,4.48,0.34
States,Pennsylvania,2016,44,346,0,0,0,0,0
States,Rhode Island,2016,44,X,X,X,X,X,X
States,South Carolina,2016,44,230,1,1,0.87,0.43,0.43
States,South Dakota,2016,44,126,2,0,1.59,1.59,0
States,Tennessee,2016,44,125,0,2,1.6,0,1.6
States,Texas,2016,44,1275,12,9,1.65,0.94,0.71
States,Utah,2016,44,480,8,0,1.67,1.67,0
States,Vermont,2016,44,71,0,0,0,0,0
States,Virginia,2016,44,217,0,0,0,0,0
States,Washington,2016,44,537,16,0,2.98,2.98,0
States,West Virginia,2016,44,409,0,1,0.24,0,0.24
States,Wisconsin,2016,44,580,2,0,0.34,0.34,0
States,Wyoming,2016,44,X,X,X,X,X,X
States,Puerto Rico,2016,44,0,0,0,0,0,0
States,Virgin Islands,2016,44,X,X,X,X,X,X
States,New York City,2016,44,X,X,X,X,X,X
States,Alabama,2016,45,590,4,1,0.85,0.68,0.17
States,Alaska,2016,45,X,X,X,X,X,X
States,Arizona,2016,45,143,1,0,0.7,0.7,0
States,Arkansas,2016,45,57,0,0,0,0,0
States,California,2016,45,950,12,1,1.37,1.26,0.11
States,Colorado,2016,45,394,8,0,2.03,2.03,0
States,Connecticut,2016,45,298,2,0,0.67,0.67,0
States,Delaware,2016,45,90,1,0,1.11,1.11,0
States,District of Columbia,2016,45,X,X,X,X,X,X
States,Florida,2016,45,X,X,X,X,X,X
States,Georgia,2016,45,670,7,2,1.34,1.04,0.3
States,Hawaii,2016,45,222,5,1,2.7,2.25,0.45
States,Idaho,2016,45,29,0,0,0,0,0
States,Illinois,2016,45,277,1,0,0.36,0.36,0
States,Indiana,2016,45,153,0,2,1.31,0,1.31
States,Iowa,2016,45,119,1,0,0.84,0.84,0
States,Kansas,2016,45,80,0,0,0,0,0
States,Kentucky,2016,45,269,0,0,0,0,0
States,Louisiana,2016,45,641,10,2,1.87,1.56,0.31
States,Maine,2016,45,X,X,X,X,X,X
States,Maryland,2016,45,135,0,0,0,0,0
States,Massachusetts,2016,45,467,5,1,1.28,1.07,0.21
States,Michigan,2016,45,802,0,0,0,0,0
States,Minnesota,2016,45,216,0,0,0,0,0
States,Mississippi,2016,45,92,0,0,0,0,0
States,Missouri,2016,45,601,0,0,0,0,0
States,Montana,2016,45,117,1,0,0.85,0.85,0
States,Nebraska,2016,45,81,0,0,0,0,0
States,Nevada,2016,45,11,0,0,0,0,0
States,New Hampshire,2016,45,25,0,0,0,0,0
States,New Jersey,2016,45,X,X,X,X,X,X
States,New Mexico,2016,45,234,0,0,0,0,0
States,New York,2016,45,1685,18,1,1.13,1.07,0.06
States,North Carolina,2016,45,186,4,2,3.23,2.15,1.08
States,North Dakota,2016,45,36,1,0,2.78,2.78,0
States,Ohio,2016,45,1333,8,4,0.9,0.6,0.3
States,Oklahoma,2016,45,148,2,0,1.35,1.35,0
States,Oregon,2016,45,273,39,0,14.29,14.29,0
States,Pennsylvania,2016,45,385,1,2,0.78,0.26,0.52
States,Rhode Island,2016,45,X,X,X,X,X,X
States,South Carolina,2016,45,229,0,1,0.44,0,0.44
States,South Dakota,2016,45,130,0,0,0,0,0
States,Tennessee,2016,45,184,1,1,1.09,0.54,0.54
States,Texas,2016,45,1514,10,19,1.92,0.66,1.25
States,Utah,2016,45,517,16,0,3.09,3.09,0
States,Vermont,2016,45,56,0,0,0,0,0
States,Virginia,2016,45,216,0,0,0,0,0
States,Washington,2016,45,562,33,1,6.05,5.87,0.18
States,West Virginia,2016,45,433,0,0,0,0,0
States,Wisconsin,2016,45,569,1,0,0.18,0.18,0
States,Wyoming,2016,45,X,X,X,X,X,X
States,Puerto Rico,2016,45,0,0,0,0,0,0
States,Virgin Islands,2016,45,X,X,X,X,X,X
States,New York City,2016,45,X,X,X,X,X,X
States,Alabama,2016,46,642,15,9,3.74,2.34,1.4
States,Alaska,2016,46,X,X,X,X,X,X
States,Arizona,2016,46,182,1,0,0.55,0.55,0
States,Arkansas,2016,46,45,1,0,2.22,2.22,0
States,California,2016,46,1013,10,1,1.09,0.99,0.1
States,Colorado,2016,46,386,7,1,2.07,1.81,0.26
States,Connecticut,2016,46,350,4,0,1.14,1.14,0
States,Delaware,2016,46,108,3,0,2.78,2.78,0
States,District of Columbia,2016,46,X,X,X,X,X,X
States,Florida,2016,46,X,X,X,X,X,X
States,Georgia,2016,46,818,14,9,2.81,1.71,1.1
States,Hawaii,2016,46,154,4,0,2.6,2.6,0
States,Idaho,2016,46,36,2,0,5.56,5.56,0
States,Illinois,2016,46,291,4,3,2.41,1.37,1.03
States,Indiana,2016,46,160,1,0,0.63,0.63,0
States,Iowa,2016,46,98,0,0,0,0,0
States,Kansas,2016,46,81,1,2,3.7,1.23,2.47
States,Kentucky,2016,46,266,0,0,0,0,0
States,Louisiana,2016,46,735,21,5,3.54,2.86,0.68
States,Maine,2016,46,X,X,X,X,X,X
States,Maryland,2016,46,108,0,0,0,0,0
States,Massachusetts,2016,46,439,5,0,1.14,1.14,0
States,Michigan,2016,46,754,3,4,0.93,0.4,0.53
States,Minnesota,2016,46,305,1,0,0.33,0.33,0
States,Mississippi,2016,46,104,0,0,0,0,0
States,Missouri,2016,46,701,5,1,0.86,0.71,0.14
States,Montana,2016,46,133,4,0,3.01,3.01,0
States,Nebraska,2016,46,74,0,0,0,0,0
States,Nevada,2016,46,X,X,X,X,X,X
States,New Hampshire,2016,46,29,1,0,3.45,3.45,0
States,New Jersey,2016,46,X,X,X,X,X,X
States,New Mexico,2016,46,284,0,0,0,0,0
States,New York,2016,46,1705,21,4,1.47,1.23,0.23
States,North Carolina,2016,46,267,3,2,1.87,1.12,0.75
States,North Dakota,2016,46,39,0,0,0,0,0
States,Ohio,2016,46,1376,9,7,1.16,0.65,0.51
States,Oklahoma,2016,46,204,2,0,0.98,0.98,0
States,Oregon,2016,46,367,48,0,13.08,13.08,0
States,Pennsylvania,2016,46,341,2,2,1.17,0.59,0.59
States,Rhode Island,2016,46,X,X,X,X,X,X
States,South Carolina,2016,46,267,0,1,0.37,0,0.37
States,South Dakota,2016,46,122,1,0,0.82,0.82,0
States,Tennessee,2016,46,162,1,0,0.62,0.62,0
States,Texas,2016,46,1746,21,22,2.46,1.2,1.26
States,Utah,2016,46,483,7,0,1.45,1.45,0
States,Vermont,2016,46,75,1,0,1.33,1.33,0
States,Virginia,2016,46,181,0,0,0,0,0
States,Washington,2016,46,610,38,1,6.39,6.23,0.16
States,West Virginia,2016,46,427,2,0,0.47,0.47,0
States,Wisconsin,2016,46,576,4,0,0.69,0.69,0
States,Wyoming,2016,46,X,X,X,X,X,X
States,Puerto Rico,2016,46,0,0,0,0,0,0
States,Virgin Islands,2016,46,X,X,X,X,X,X
States,New York City,2016,46,X,X,X,X,X,X
States,Alabama,2016,47,602,12,6,2.99,1.99,1
States,Alaska,2016,47,X,X,X,X,X,X
States,Arizona,2016,47,165,3,0,1.82,1.82,0
States,Arkansas,2016,47,56,0,0,0,0,0
States,California,2016,47,948,16,2,1.9,1.69,0.21
States,Colorado,2016,47,372,10,1,2.96,2.69,0.27
States,Connecticut,2016,47,328,5,1,1.83,1.52,0.3
States,Delaware,2016,47,94,6,0,6.38,6.38,0
States,District of Columbia,2016,47,X,X,X,X,X,X
States,Florida,2016,47,X,X,X,X,X,X
States,Georgia,2016,47,765,7,5,1.57,0.92,0.65
States,Hawaii,2016,47,158,7,4,6.96,4.43,2.53
States,Idaho,2016,47,57,5,0,8.77,8.77,0
States,Illinois,2016,47,337,6,1,2.08,1.78,0.3
States,Indiana,2016,47,156,0,0,0,0,0
States,Iowa,2016,47,129,2,0,1.55,1.55,0
States,Kansas,2016,47,73,0,0,0,0,0
States,Kentucky,2016,47,243,0,0,0,0,0
States,Louisiana,2016,47,716,20,5,3.49,2.79,0.7
States,Maine,2016,47,X,X,X,X,X,X
States,Maryland,2016,47,107,1,1,1.87,0.93,0.93
States,Massachusetts,2016,47,455,3,3,1.32,0.66,0.66
States,Michigan,2016,47,744,15,1,2.15,2.02,0.13
States,Minnesota,2016,47,276,1,0,0.36,0.36,0
States,Mississippi,2016,47,84,1,0,1.19,1.19,0
States,Missouri,2016,47,584,11,1,2.05,1.88,0.17
States,Montana,2016,47,119,3,0,2.52,2.52,0
States,Nebraska,2016,47,95,0,1,1.05,0,1.05
States,Nevada,2016,47,10,1,0,10,10,0
States,New Hampshire,2016,47,26,0,0,0,0,0
States,New Jersey,2016,47,X,X,X,X,X,X
States,New Mexico,2016,47,236,1,0,0.42,0.42,0
States,New York,2016,47,1672,30,3,1.97,1.79,0.18
States,North Carolina,2016,47,287,2,3,1.74,0.7,1.05
States,North Dakota,2016,47,29,0,0,0,0,0
States,Ohio,2016,47,1215,10,7,1.4,0.82,0.58
States,Oklahoma,2016,47,182,1,0,0.55,0.55,0
States,Oregon,2016,47,357,58,0,16.25,16.25,0
States,Pennsylvania,2016,47,431,2,2,0.93,0.46,0.46
States,Rhode Island,2016,47,X,X,X,X,X,X
States,South Carolina,2016,47,239,1,4,2.09,0.42,1.67
States,South Dakota,2016,47,121,0,0,0,0,0
States,Tennessee,2016,47,197,2,3,2.54,1.02,1.52
States,Texas,2016,47,1537,17,16,2.15,1.11,1.04
States,Utah,2016,47,549,16,0,2.91,2.91,0
States,Vermont,2016,47,81,0,0,0,0,0
States,Virginia,2016,47,184,0,0,0,0,0
States,Washington,2016,47,649,35,1,5.55,5.39,0.15
States,West Virginia,2016,47,413,3,1,0.97,0.73,0.24
States,Wisconsin,2016,47,571,5,0,0.88,0.88,0
States,Wyoming,2016,47,X,X,X,X,X,X
States,Puerto Rico,2016,47,0,0,0,0,0,0
States,Virgin Islands,2016,47,X,X,X,X,X,X
States,New York City,2016,47,X,X,X,X,X,X
States,Alabama,2016,48,661,14,9,3.48,2.12,1.36
States,Alaska,2016,48,X,X,X,X,X,X
States,Arizona,2016,48,223,1,0,0.45,0.45,0
States,Arkansas,2016,48,73,2,1,4.11,2.74,1.37
States,California,2016,48,1261,20,3,1.82,1.59,0.24
States,Colorado,2016,48,462,17,0,3.68,3.68,0
States,Connecticut,2016,48,390,4,1,1.28,1.03,0.26
States,Delaware,2016,48,168,14,1,8.93,8.33,0.6
States,District of Columbia,2016,48,X,X,X,X,X,X
States,Florida,2016,48,X,X,X,X,X,X
States,Georgia,2016,48,841,13,8,2.5,1.55,0.95
States,Hawaii,2016,48,228,18,6,10.53,7.89,2.63
States,Idaho,2016,48,44,3,0,6.82,6.82,0
States,Illinois,2016,48,317,3,2,1.58,0.95,0.63
States,Indiana,2016,48,184,0,0,0,0,0
States,Iowa,2016,48,110,2,0,1.82,1.82,0
States,Kansas,2016,48,91,1,1,2.2,1.1,1.1
States,Kentucky,2016,48,304,0,1,0.33,0,0.33
States,Louisiana,2016,48,741,16,6,2.97,2.16,0.81
States,Maine,2016,48,X,X,X,X,X,X
States,Maryland,2016,48,162,1,1,1.23,0.62,0.62
States,Massachusetts,2016,48,595,20,2,3.7,3.36,0.34
States,Michigan,2016,48,924,5,2,0.76,0.54,0.22
States,Minnesota,2016,48,410,5,2,1.71,1.22,0.49
States,Mississippi,2016,48,129,1,1,1.55,0.78,0.78
States,Missouri,2016,48,715,16,2,2.52,2.24,0.28
States,Montana,2016,48,109,2,0,1.83,1.83,0
States,Nebraska,2016,48,88,1,0,1.14,1.14,0
States,Nevada,2016,48,12,1,0,8.33,8.33,0
States,New Hampshire,2016,48,27,0,0,0,0,0
States,New Jersey,2016,48,X,X,X,X,X,X
States,New Mexico,2016,48,289,4,0,1.38,1.38,0
States,New York,2016,48,2068,60,14,3.58,2.9,0.68
States,North Carolina,2016,48,315,6,3,2.86,1.9,0.95
States,North Dakota,2016,48,47,0,0,0,0,0
States,Ohio,2016,48,1463,16,5,1.44,1.09,0.34
States,Oklahoma,2016,48,192,1,0,0.52,0.52,0
States,Oregon,2016,48,416,44,1,10.82,10.58,0.24
States,Pennsylvania,2016,48,472,3,1,0.85,0.64,0.21
States,Rhode Island,2016,48,X,X,X,X,X,X
States,South Carolina,2016,48,285,1,0,0.35,0.35,0
States,South Dakota,2016,48,153,0,0,0,0,0
States,Tennessee,2016,48,209,2,6,3.83,0.96,2.87
States,Texas,2016,48,1780,12,20,1.8,0.67,1.12
States,Utah,2016,48,630,30,0,4.76,4.76,0
States,Vermont,2016,48,91,3,0,3.3,3.3,0
States,Virginia,2016,48,206,0,0,0,0,0
States,Washington,2016,48,606,33,0,5.45,5.45,0
States,West Virginia,2016,48,483,5,3,1.66,1.04,0.62
States,Wisconsin,2016,48,744,7,2,1.21,0.94,0.27
States,Wyoming,2016,48,X,X,X,X,X,X
States,Puerto Rico,2016,48,0,0,0,0,0,0
States,Virgin Islands,2016,48,X,X,X,X,X,X
States,New York City,2016,48,X,X,X,X,X,X
States,Alabama,2016,49,658,19,6,3.8,2.89,0.91
States,Alaska,2016,49,X,X,X,X,X,X
States,Arizona,2016,49,165,1,0,0.61,0.61,0
States,Arkansas,2016,49,50,0,0,0,0,0
States,California,2016,49,1181,38,2,3.39,3.22,0.17
States,Colorado,2016,49,488,18,3,4.3,3.69,0.61
States,Connecticut,2016,49,341,1,0,0.29,0.29,0
States,Delaware,2016,49,172,8,0,4.65,4.65,0
States,District of Columbia,2016,49,X,X,X,X,X,X
States,Florida,2016,49,X,X,X,X,X,X
States,Georgia,2016,49,763,19,10,3.8,2.49,1.31
States,Hawaii,2016,49,234,24,8,13.68,10.26,3.42
